NumPage,NumLot,MarkerNew,LotName,ShopRating,CountReviews,Born(mm/yyyy),ODO km,PriceEur,NetPriceEur,href
1,1,-,Mercedes-Benz GLC 220 d 9G 4Matic Exclusive LED NIGHT NAVI,4.5 ,149,03/2018,93736,22990,19319,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-9G-4Matic-Exclusive/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351682877.html"
1,2,-,Mercedes-Benz GLC 220 GLC -Klasse GLC 220 d 4Matic,4 ,13,10/2017,113000,26500,26500,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-GLC-Klasse-GLC-220-d/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351702389.html"
1,3,Новое,Mercedes-Benz GLC 220 d 4Matic 1.HAND/LED/ILS/PDC/SHZ/NAVI,4.9 ,43,07/2017,120000,27500,23109,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-1.HAND-LED-ILS/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351793014.html"
1,4,-,Mercedes-Benz GLC 220 d 4MATIC*AMG LINE*COMAND*ALCANTARA*,4.5 ,49,03/2018,32000,27900,27900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4MATIC-AMG-LINE/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350083241.html"
1,5,-,Mercedes-Benz GLC 220 d 4Matic 9G Navi LED AHK SHZ ,4.3 ,261,12/2017,121282,28290,23773,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-Navi-LED/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/350178168.html"
1,6,-,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,0,0,03/2017,119000,28600,28600,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-TRONIC/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351151198.html"
1,7,-,Mercedes-Benz GLC 220 d 4Matic Navi Park Paket,4.5 ,17,10/2017,100000,28800,28800,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-Navi-Park/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/340253007.html"
1,8,-,Mercedes-Benz GLC 220 d 4MATIC *LED*EasyPack*Totwinkel*Navi*,4.9 ,193,07/2017,106987,28880,24269,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4MATIC-LED-EasyPack/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351075506.html"
1,9,-,Mercedes-Benz GLC 220 d 4Matic 9G AHK Exclusiv Night MB Inspek,0,0,09/2017,99950,28900,28900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-9G-AHK/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351656158.html"
1,10,-,Mercedes-Benz GLC 220 d 4Matic LED  Navi SHZ Exclusive,5 ,22,08/2017,106500,28900,28900,"https://www.mobile.de/ru/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C/Mercedes-Benz-GLC-220-d-4Matic-LED-Navi-SHZ/vhc:car,pgn:1,pgs:10,srt:price,sro:asc,ms1:17200_253_d,frn:2017,frx:2019,ful:hybrid_diesel!diesel!lpg,mlx:125000/pg:vipcar/351191942.html"
